FeatureCode,DateCode,Measurement,Units,Value,Gender,Population Group
S12000020,2010,Median,Pounds (GBP),469.2,Male,Residence Based
S12000042,2004,Median,Pounds (GBP),371.5,Male,Residence Based
S12000042,2005,Median,Pounds (GBP),391.7,Male,Residence Based
S12000042,2003,Median,Pounds (GBP),385.5,Male,Residence Based
S12000042,2007,Median,Pounds (GBP),432.7,Male,Residence Based
S12000042,2006,Median,Pounds (GBP),421.6,Male,Residence Based
S12000044,2012,Median,Pounds (GBP),483.5,All,Residence Based
S12000019,2012,Median,Pounds (GBP),469,Male,Residence Based
S12000044,2011,Median,Pounds (GBP),464.4,All,Residence Based
S12000019,2010,Median,Pounds (GBP),519.6,Male,Residence Based
S12000019,2009,Median,Pounds (GBP),442,Male,Residence Based
S12000019,2011,Median,Pounds (GBP),482.5,Male,Residence Based
S12000020,2002,Median,Pounds (GBP),310.9,All,Residence Based
S12000020,2001,Median,Pounds (GBP),291.8,All,Residence Based
S12000020,2003,Median,Pounds (GBP),331.1,All,Residence Based
S12000044,2010,Median,Pounds (GBP),448.4,All,Residence Based
S12000044,2009,Median,Pounds (GBP),429.2,All,Residence Based
S12000019,2002,Median,Pounds (GBP),344.6,Male,Residence Based
S12000019,2001,Median,Pounds (GBP),370.8,Male,Residence Based
S12000019,2003,Median,Pounds (GBP),401.1,Male,Residence Based
S12000044,2002,Median,Pounds (GBP),289.9,Female,Residence Based
S12000044,2001,Median,Pounds (GBP),287.2,Female,Residence Based
S12000019,2007,Median,Pounds (GBP),471.3,Male,Residence Based
S12000019,2006,Median,Pounds (GBP),443.1,Male,Residence Based
S12000019,2008,Median,Pounds (GBP),456.5,Male,Residence Based
S12000019,2004,Median,Pounds (GBP),421.4,Male,Residence Based
S12000019,2005,Median,Pounds (GBP),389.8,Male,Residence Based
S12000044,2004,Median,Pounds (GBP),357.3,All,Residence Based
S12000044,2005,Median,Pounds (GBP),375.6,All,Residence Based
S12000044,2003,Median,Pounds (GBP),361.9,All,Residence Based
S12000044,2007,Median,Pounds (GBP),413.9,All,Residence Based
S12000044,2006,Median,Pounds (GBP),399.5,All,Residence Based
S12000020,2002,Median,Pounds (GBP),239.9,Female,Residence Based
S12000020,2001,Median,Pounds (GBP),195.7,Female,Residence Based
S12000020,2003,Median,Pounds (GBP),251.1,Female,Residence Based
S12000044,2002,Median,Pounds (GBP),348.5,All,Residence Based
S12000044,2001,Median,Pounds (GBP),338.5,All,Residence Based
S12000020,2007,Median,Pounds (GBP),376.1,All,Residence Based
S12000020,2006,Median,Pounds (GBP),378.5,All,Residence Based
S12000020,2008,Median,Pounds (GBP),388.6,All,Residence Based
S12000020,2004,Median,Pounds (GBP),332,All,Residence Based
S12000020,2005,Median,Pounds (GBP),362.9,All,Residence Based
S12000020,2012,Median,Pounds (GBP),453.4,All,Residence Based
S12000020,2011,Median,Pounds (GBP),466,All,Residence Based
S12000044,2008,Median,Pounds (GBP),435.3,All,Residence Based
S12000020,2009,Median,Pounds (GBP),405.7,All,Residence Based
S12000020,2010,Median,Pounds (GBP),428.7,All,Residence Based
S12000042,2005,Median,Pounds (GBP),375.1,All,Residence Based
S12000042,2006,Median,Pounds (GBP),397.7,All,Residence Based
S12000042,2004,Median,Pounds (GBP),356.1,All,Residence Based
S12000042,2008,Median,Pounds (GBP),439.7,All,Residence Based
S12000023,2012,Median,Pounds (GBP),480.9,All,Residence Based
S12000042,2007,Median,Pounds (GBP),413.4,All,Residence Based
S12000023,2005,Median,Pounds (GBP),418.2,Male,Residence Based
S12000023,2002,Median,Pounds (GBP),368.6,Male,Residence Based
S12000023,2006,Median,Pounds (GBP),435.2,Male,Residence Based
S12000042,2003,Median,Pounds (GBP),348.3,All,Residence Based
S12000023,2009,Median,Pounds (GBP),406.6,Female,Residence Based
S12000042,2009,Median,Pounds (GBP),418.6,All,Residence Based
S12000042,2010,Median,Pounds (GBP),441.1,All,Residence Based
S12000023,2004,Median,Pounds (GBP),355.8,All,Residence Based
S12000042,2012,Median,Pounds (GBP),432.2,All,Residence Based
S12000042,2011,Median,Pounds (GBP),446,All,Residence Based
S12000023,2010,Median,Pounds (GBP),467.6,All,Residence Based
S12000023,2009,Median,Pounds (GBP),434.2,All,Residence Based
S12000023,2011,Median,Pounds (GBP),427.4,All,Residence Based
S12000023,2005,Median,Pounds (GBP),423.6,All,Residence Based
S12000023,2006,Median,Pounds (GBP),385.1,All,Residence Based
S12000026,2009,Median,Pounds (GBP),437.4,All,Residence Based
S12000026,2008,Median,Pounds (GBP),449.9,All,Residence Based
S12000026,2010,Median,Pounds (GBP),459.9,All,Residence Based
S12000026,2006,Median,Pounds (GBP),385.4,All,Residence Based
S12000026,2007,Median,Pounds (GBP),423.4,All,Residence Based
S12000026,2001,Median,Pounds (GBP),251.8,Female,Residence Based
S12000041,2012,Median,Pounds (GBP),508.9,Male,Residence Based
S12000026,2002,Median,Pounds (GBP),254.1,Female,Residence Based
S12000026,2011,Median,Pounds (GBP),453.3,All,Residence Based
S12000026,2012,Median,Pounds (GBP),449.5,All,Residence Based
S12000042,2002,Median,Pounds (GBP),335.9,All,Residence Based
S12000023,2010,Median,Pounds (GBP),596.2,Male,Residence Based
S12000042,2001,Median,Pounds (GBP),321.8,All,Residence Based
S12000023,2007,Median,Pounds (GBP),504,Male,Residence Based
S12000023,2008,Median,Pounds (GBP),480.1,Male,Residence Based
S12000026,2004,Median,Pounds (GBP),355.8,All,Residence Based
S12000026,2003,Median,Pounds (GBP),343.4,All,Residence Based
S12000026,2005,Median,Pounds (GBP),369.8,All,Residence Based
S12000026,2001,Median,Pounds (GBP),318.7,All,Residence Based
S12000026,2002,Median,Pounds (GBP),329.3,All,Residence Based
S12000021,2006,Median,Pounds (GBP),316.2,Female,Residence Based
S12000021,2005,Median,Pounds (GBP),308,Female,Residence Based
S12000021,2007,Median,Pounds (GBP),327,Female,Residence Based
